True_Class,Explained_Class,Feature,Weight
Critical,Stable,PHQ2,-0.026992
Critical,Stable,GAD4,-0.02141
Critical,Stable,PSS3,-0.020406
Critical,Stable,PHQ5,0.019748
Critical,Stable,PSS2,-0.019558
Critical,Stable,PHQ6,-0.017486
Critical,Stable,GAD7,-0.015983
Critical,Stable,PHQ3,-0.015581
Critical,Stable,PHQ7,-0.015446
Critical,Stable,PHQ8,-0.014173
Critical,Stable,GAD3,-0.012976
Critical,Stable,PHQ4,-0.011825
Critical,Stable,GAD1,-0.006376
Critical,Stable,GAD5,0.003816
Critical,Stable,GAD6,-0.002052
Critical,Challenged,PHQ7,-0.128695
Critical,Challenged,PHQ5,0.117282
Critical,Challenged,GAD6,-0.071794
Critical,Challenged,GAD3,-0.070361
Critical,Challenged,GAD1,-0.067554
Critical,Challenged,PSS3,-0.06458
Critical,Challenged,PHQ8,-0.063429
Critical,Challenged,PHQ2,0.057259
Critical,Challenged,GAD7,-0.053211
Critical,Challenged,GAD4,-0.046516
Critical,Challenged,PHQ6,-0.043916
Critical,Challenged,PHQ3,-0.039551
Critical,Challenged,GAD5,-0.023813
Critical,Challenged,PSS2,-0.022318
Critical,Challenged,PHQ4,-0.011874
Critical,Critical,PHQ7,0.144141
Critical,Critical,PHQ5,-0.137031
Critical,Critical,PSS3,0.084985
Critical,Critical,GAD3,0.083337
Critical,Critical,PHQ8,0.077602
Critical,Critical,GAD1,0.07393
Critical,Critical,GAD6,0.073846
Critical,Critical,GAD7,0.069194
Critical,Critical,GAD4,0.067926
Critical,Critical,PHQ6,0.061401
Critical,Critical,PHQ3,0.055133
Critical,Critical,PSS2,0.041876
Critical,Critical,PHQ2,-0.030267
Critical,Critical,PHQ4,0.023699
Critical,Critical,GAD5,0.019997
